,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap,cluster,total_per_var
63,2000-09-01,0,35.988200925343996,27.97549531855479,-19.5,-19.25,0.6235448914927259,-10,0.6234272479680144,-10,2,63.96369624389878
64,2000-10-01,0,34.81500674848063,28.81033301528409,-20.0,-19.5,0.6254385653785168,-10,0.6295348996601021,-10,2,63.625339763764714
65,2000-11-01,1,29.661371616854805,35.237521494875864,-33.75,-17.5,0.626030915677915,-10,0.6355020572644062,-10,2,64.89889311173067
66,2000-12-01,1,28.963492461505563,35.1917638206858,-34.25,-18.5,0.613072895231261,-10,0.6407956698408581,-10,2,64.15525628219136
67,2001-01-01,1,27.29352978334852,35.62316834704205,-33.0,-18.5,0.5761888864057523,-10,0.646938413723503,-10,2,62.91669813039057
68,2001-02-01,1,27.63079936504816,35.46545306153678,-32.75,-18.25,0.5183294586173166,-10,0.6513793040975796,-10,2,63.09625242658494
69,2001-03-01,1,27.900698043931467,34.38903118463022,-32.75,-18.0,0.4495949727079426,-10,0.651630548942665,-10,2,62.28972922856168
70,2001-04-01,1,27.66411626667853,35.01680084438479,-32.25,-18.25,-0.4021682431459348,-18,-0.6473440065298307,-18,2,62.68091711106332
71,2001-05-01,1,27.98850436159881,35.19909654042356,-32.25,-18.5,-0.4538816523682222,-18,-0.6991506252985568,-18,2,63.18760090202237
72,2001-06-01,1,27.970714565348953,35.51526913007899,-32.0,-18.75,-0.509869508674382,-18,-0.7249362636429997,-18,2,63.48598369542795
73,2001-07-01,1,27.820787638109916,35.10776604683593,-31.75,-18.25,-0.5677665409374776,-18,-0.7252273884921042,-18,2,62.92855368494584
74,2001-08-01,1,28.078618018241148,35.117215219331584,-31.75,-18.0,-0.6311427860825046,-18,-0.6980676055348313,-18,2,63.19583323757273
75,2001-09-01,1,28.03288968285899,35.362090672822205,-31.5,-18.0,-0.6922655470730678,-18,0.7316658060245068,-10,2,63.3949803556812
76,2001-10-01,1,28.2811638534688,35.02246815680415,-31.0,-18.75,-0.7467153572456383,-18,0.7607890037130548,-10,2,63.30363201027295
77,2001-11-01,1,28.45901555194529,35.21568927483259,-29.75,-18.75,-0.7964731932660906,-17,0.7754812141150058,-10,2,63.674704826777884
78,2001-12-01,1,29.233123919754327,34.26065087420552,-27.75,-19.25,-0.816102761075058,-17,0.77604660334789,-10,2,63.493774793959844
79,2002-01-01,1,28.2310654129344,34.54074782371505,-32.25,-19.25,-0.8055253832505012,-17,0.7630211396439404,-10,2,62.77181323664945
80,2002-02-01,1,31.103317023528305,31.278075223442357,-32.0,-18.5,-0.7826646467781386,-18,0.7364436635909669,-10,3,62.38139224697066
81,2002-03-01,1,28.663302854442524,32.33191968904988,-28.75,-18.5,-0.7424815820716787,-18,0.6945380334094025,-10,3,60.9952225434924
82,2002-04-01,1,29.324403478865936,31.23063692818164,-31.5,-18.75,-0.6967644793616601,-18,0.6466261008097769,-10,3,60.55504040704757
83,2002-05-01,1,29.561343177850997,31.794706356136153,-31.75,-19.0,-0.6614004685778115,-18,0.594377348124254,-10,3,61.35604953398715
84,2002-06-01,1,29.489689053925456,31.94498007651586,-31.25,-18.75,-0.6510779976155622,-18,0.5426273886510479,-10,3,61.43466913044132
85,2002-07-01,1,29.545638685659593,31.97838752181158,-31.75,-19.0,-0.6671103141299478,-18,0.4941437522994094,-10,3,61.524026207471174
86,2002-08-01,1,29.3149329820226,32.15970195323726,-32.25,-18.75,-0.7007577511521987,-18,0.4520226155692402,-10,3,61.47463493525986
87,2002-09-01,1,29.33276354729903,31.93324069134038,-32.25,-19.25,-0.7375129797384709,-18,0.4184001768507494,-10,3,61.26600423863941
88,2002-10-01,1,28.90715251091264,31.547705668071053,-32.25,-20.0,-0.765996789525784,-18,0.3940055677888839,-10,3,60.45485817898369
89,2002-11-01,1,27.05098245118287,33.469863314398374,-32.0,-18.0,-0.7668511069757789,-18,0.3792887508673918,-10,3,60.52084576558124
90,2002-12-01,1,28.342247145424658,33.97826979763335,-32.75,-20.5,-0.7456242377150082,-18,0.3743291175842377,-10,3,62.32051694305801
91,2003-01-01,1,28.57595699349817,33.426993498444716,-32.0,-19.5,-0.715342611282181,-18,0.3850076119808235,-10,0,62.00295049194288
92,2003-02-01,1,27.12010705965732,37.74426739784192,-28.75,-21.5,-0.677690342927507,-18,0.451265540192018,-13,0,64.86437445749924
93,2003-03-01,1,31.09712316546621,34.90752247185664,-32.0,-21.25,-0.6230601056749282,-18,0.5537855071541685,-13,0,66.00464563732285
94,2003-04-01,1,28.00865694991438,36.80249111595416,-29.25,-22.25,-0.5355702081788292,-18,0.6412977129323951,-13,0,64.81114806586854
95,2003-05-01,1,27.533335858838768,37.38233683880685,-29.75,-23.25,-0.4111062141954243,-18,0.7037743818917483,-13,0,64.91567269764562
96,2003-06-01,1,27.577071240522667,37.31530500063624,-30.0,-23.25,-0.2995433703826902,-18,0.7516655909999032,-13,0,64.89237624115891
97,2003-07-01,1,27.61723359107848,37.30547860686874,-30.0,-23.25,-0.2535244158270178,-18,0.7844719731264204,-13,0,64.92271219794722
98,2003-08-01,1,27.772251858462077,37.318904529092194,-29.5,-23.25,0.2738077385866598,-10,0.8109641919941679,-14,0,65.09115638755426
99,2003-09-01,1,27.779220078537335,36.75388539666264,-29.5,-23.0,0.2876349644787467,-10,0.8460575224650023,-14,0,64.53310547519997
100,2003-10-01,1,27.685224075711933,36.41948662567799,-29.75,-23.0,-0.2981737980885509,-18,0.8737259170575501,-14,0,64.10471070138992
101,2003-11-01,1,27.85915441055305,35.855927774782224,-30.25,-23.5,-0.3021016448574984,-16,0.8754986686511081,-14,0,63.71508218533528
102,2003-12-01,1,27.135108107860063,36.09991782726801,-31.0,-24.0,-0.3258403850534726,-15,0.8406358478058397,-14,0,63.23502593512807
103,2004-01-01,1,27.12732110119577,34.23412099350292,-33.0,-25.5,-0.3587598404347394,-14,0.784395394571754,-14,0,61.36144209469869
104,2004-02-01,1,28.780275297352063,32.76010728476011,-29.0,-24.0,-0.3984665423170668,-14,0.736769302509998,-14,0,61.54038258211217
105,2004-03-01,0,33.80740956761715,30.146721203186573,-40.75,-23.75,-0.4478953736899548,-13,0.7244112251881402,-13,0,63.95413077080372
106,2004-04-01,0,34.42335205115428,29.900228086557835,-34.25,-24.25,-0.4943078407685795,-13,0.737615059807804,-13,0,64.32358013771211
107,2004-05-01,0,34.17091229348074,29.86363544314913,-32.75,-24.0,-0.5498051535429959,-12,0.7522733013263305,-14,0,64.03454773662986
108,2004-06-01,0,35.462786518249686,28.903196282326853,-33.75,-25.0,-0.5761446583717585,-12,0.7642656548677379,-15,0,64.36598280057655
109,2004-07-01,0,35.48661195491409,28.67853979043,-33.0,-25.5,-0.5838503486153906,-13,0.7710005537769863,-16,0,64.16515174534409
110,2004-08-01,0,35.19710446630408,28.808897377357468,-33.5,-25.5,-0.5684699934892776,-14,0.7760281935954835,-17,0,64.00600184366155
111,2004-09-01,0,34.97100192016912,29.50550832218427,-30.75,-24.5,-0.5578655895672627,-14,0.7812730618759877,-18,0,64.47651024235338
112,2004-10-01,0,36.115354263215856,29.04174416172139,-29.25,-24.75,-0.5702536515297961,-15,0.7774327806185787,-18,0,65.15709842493725
113,2004-11-01,0,35.45888402878016,29.14390524185541,-31.0,-24.5,-0.6066560063339483,-16,0.7570449598479502,-18,0,64.60278927063557
114,2004-12-01,0,38.23596244836863,26.326882473422707,-42.0,-24.5,-0.657203900187998,-16,0.7269834596050608,-18,0,64.56284492179134
115,2005-01-01,0,38.745539834739226,26.192505097753667,-42.5,-23.75,-0.7071026955381831,-17,0.6963220306736958,-18,0,64.93804493249289
116,2005-02-01,0,39.70666501607002,27.4897521391596,-40.0,-24.75,-0.7344878277658712,-16,0.6649939644549232,-18,0,67.19641715522962
117,2005-03-01,0,41.67214823698284,26.08102864967852,-33.5,-24.25,-0.719114107630908,-17,0.6316919394444284,-18,0,67.75317688666136
118,2005-04-01,0,41.57995645272356,25.933182016770072,-33.0,-24.0,-0.6573151560206206,-17,0.6066241542754667,-18,0,67.51313846949363
119,2005-05-01,0,41.84884331850991,26.15030089776942,-33.25,-24.0,-0.5669938282248873,-18,0.6008218418569939,-18,3,67.99914421627932
